PREST;ID;MONTO;TASA;VENC;PAGADA_EL;CANC;INT;ABONO;PAGO;RESTA
3233;1.0;1221.76;0,91;31-Jul-2011;18-Oct-2011;1221.76;974.34;247.42;247.42;35182.98
3233;2.0;2736.00;0,91;31-Dic-2011;18-Ene-2012;2736.00;1612.55;1123.45;1370.87;34059.53
3233;3.0;2700.00;0,91;31-Jul-2012;1-Oct-2012;2700.00;2185.47;514.53;1885.40;33545.00
3233;4.0;2736.00;0,91;31-Dic-2012;4-Dic-2012;2736.00;1537.50;1198.50;3083.90;32346.50
3233;5.0;2700.00;0,91;31-Jul-2013;2-Oct-2013;2700.00;2075.57;624.43;3708.33;31722.07
3233;6.0;2736.00;0,91;31-Dic-2013;5-Dic-2013;2736.00;1453.95;1282.05;4990.38;30440.02
3233;7.0;2700.00;0,91;31-Jul-2014;8-Ago-2014;2700.00;1953.21;746.79;5737.17;29693.23
3233;8.0;2736.00;0,91;31-Dic-2014;10-Dic-2014;2736.00;1360.95;1375.05;7112.22;28318.18
3233;9.0;2700.00;0,91;31-Jul-2015;5-Oct-2015;2700.00;1817.06;882.94;7995.16;27435.24
3233;10.0;2736.00;0,91;31-Dic-2015;10-Dic-2015;2736.00;1257.45;1478.55;9473.71;25956.69
3233;11.0;2700.00;0,91;31-Jul-2016;8-Ago-2016;2700.00;1665.58;1034.42;10508.13;24922.27
3233;11.1;24922.27;0,91;27-Oct-2016;18-Nov-2016;24922.27;685.35;24236.92;34745.05;685.35
3233;12.0;697.91;0,91;31-Dic-2016;;0.00;0.00;0.00;0.00;0.00
3233;13.0;0.00;0,91;31-Jul-2017;;0.00;0.00;0.00;0.00;0.00
3233;14.0;0.00;0,91;31-Dic-2017;;0.00;0.00;0.00;0.00;0.00
3233;15.0;0.00;0,91;31-Jul-2018;;0.00;0.00;0.00;0.00;0.00
3233;16.0;0.00;0,91;31-Dic-2018;;0.00;0.00;0.00;0.00;0.00
3233;17.0;2700.00;0,91;31-Jul-2019;;0.00;0.00;0.00;0.00;0.00
3233;18.0;37333.84;0,91;31-Dic-2019;;0.00;0.00;0.00;0.00;0.00
3233;19.0;2700.00;0,91;31-Jul-2020;;0.00;0.00;0.00;0.00;0.00
3233;20.0;1809.43;0,91;31-Dic-2020;;0.00;0.00;0.00;0.00;0.00
3233;21.0;0.00;0,91;31-Jul-2021;;0.00;0.00;0.00;0.00;0.00
3233;22.0;0.00;0,91;31-Dic-2021;;0.00;0.00;0.00;0.00;0.00
3233;23.0;0.00;0,91;31-Jul-2022;;0.00;0.00;0.00;0.00;0.00
3233;24.0;0.00;0,91;31-Dic-2022;;0.00;0.00;0.00;0.00;0.00
3281;1.0;2522.70;0,91;31-Jul-2011;18-Oct-2011;2522.70;1347.50;1175.20;1175.20;19824.80
3281;2.0;2376.60;0,91;31-Dic-2011;18-Ene-2012;2376.60;908.65;1467.95;2643.15;18356.85
3281;6.0;2376.60;0,91;31-Dic-2013;5-Dic-2013;2376.60;619.80;1756.80;9233.60;11766.40
3281;7.0;2522.70;0,91;31-Jul-2014;8-Ago-2014;2522.70;755.02;1767.68;11001.28;9998.72
3281;3.0;2844.73;0,91;31-Jul-2012;1-Oct-2012;2844.73;1177.89;1666.84;4309.99;16690.01
3281;5.0;2522.70;0,91;31-Jul-2013;2-Oct-2013;2522.70;967.54;1555.16;7476.80;13523.20
3281;4.0;2376.60;0,91;31-Dic-2012;4-Dic-2012;2376.60;764.95;1611.65;5921.64;15078.36
3281;8.0;2376.60;0,91;31-Dic-2014;16-Dic-2014;2376.60;458.25;1918.35;12919.63;8080.37
3281;9.0;2522.70;0,91;31-Jul-2015;15-Oct-2015;2522.70;518.49;2004.21;14923.84;6076.16
3281;10.0;2376.60;0,91;31-Dic-2015;10-Dic-2015;2376.60;278.50;2098.10;17021.94;3978.06
3281;11.0;2522.41;0,91;31-Jul-2016;5-Ago-2016;2522.41;255.29;2267.12;19289.06;1710.94
3281;12.0;1789.34;0,91;31-Dic-2016;;0.00;0.00;0.00;0.00;0.00
3286;1.0;3384.00;0,91;31-Jul-2011;18-Oct-2011;3384.00;1848.00;1536.00;1536.00;27264.00
3286;2.0;3186.00;0,91;31-Dic-2011;18-Ene-2012;3186.00;1249.60;1936.40;3472.40;25327.60
3286;5.0;3384.00;0,91;31-Jul-2013;2-Oct-2013;3384.00;1344.49;2039.51;9885.92;18914.08
3286;6.0;3186.00;0,91;31-Dic-2013;5-Dic-2013;3186.00;866.90;2319.10;12205.02;16594.98
3286;7.0;3384.00;0,91;31-Jul-2014;8-Ago-2014;3384.00;1064.84;2319.16;14524.18;14275.82
3286;8.0;3186.00;0,91;31-Dic-2014;10-Dic-2014;3186.00;654.30;2531.70;17055.88;11744.12
3286;9.0;3384.00;0,91;31-Jul-2015;2-Oct-2015;3384.00;753.55;2630.45;19686.33;9113.67
3286;10.0;3186.00;0,91;31-Dic-2015;10-Dic-2015;3186.00;417.70;2768.30;22454.63;6345.37
3286;11.0;3384.00;0,91;31-Jul-2016;5-Ago-2016;3384.00;407.19;2976.81;25431.44;3368.56
3286;12.0;3186.00;0,91;31-Dic-2016;;0.00;0.00;0.00;0.00;0.00
3286;13.0;358.59;0,91;31-Jul-2017;;0.00;0.00;0.00;0.00;0.00
3286;4.0;3186.00;0,91;31-Dic-2012;4-Dic-2012;3186.00;1057.90;2128.10;7846.41;20953.59
3286;3.0;3871.10;0,91;31-Jul-2012;1-Oct-2012;3871.10;1625.19;2245.91;5718.31;23081.69
3312;1.0;2880.00;0,91;31-Jul-2011;18-Oct-2011;2880.00;2156.00;724.00;724.00;32876.00
3312;2.0;2760.00;0,91;31-Dic-2011;18-Ene-2012;2760.00;1506.80;1253.20;1977.20;31622.80
3312;3.0;2880.00;0,91;31-Jul-2012;2-Oct-2012;2880.00;2029.16;850.84;2828.04;30771.96
3312;4.0;2760.00;0,91;31-Dic-2012;4-Dic-2012;2760.00;1410.40;1349.60;4177.64;29422.36
3312;5.0;2880.00;0,91;31-Jul-2013;2-Oct-2013;2880.00;1887.90;992.10;5169.74;28430.26
3312;6.0;2760.00;0,91;31-Dic-2013;5-Dic-2013;2760.00;1303.05;1456.95;6626.69;26973.31
3312;7.0;2880.00;0,91;31-Jul-2014;8-Ago-2014;2880.00;1730.82;1149.18;7775.87;25824.13
3312;8.0;2760.00;0,91;31-Dic-2014;10-Dic-2014;2760.00;1183.60;1576.40;9352.27;24247.73
3312;9.0;2880.00;0,91;31-Jul-2015;9-Oct-2015;2880.00;1555.89;1324.11;10676.38;22923.62
3312;10.0;2760.00;0,91;31-Dic-2015;10-Dic-2015;2760.00;1050.65;1709.35;12385.73;21214.27
3312;11.0;2880.00;0,91;31-Jul-2016;5-Ago-2016;2880.00;1361.22;1518.78;13904.51;19695.49
3312;12.0;2760.00;0,91;31-Dic-2016;;0.00;0.00;0.00;0.00;0.00
3312;13.0;2880.00;0,91;31-Jul-2017;;0.00;0.00;0.00;0.00;0.00
3312;14.0;2760.00;0,91;31-Dic-2017;;0.00;0.00;0.00;0.00;0.00
3312;15.0;2880.00;0,91;31-Jul-2018;;0.00;0.00;0.00;0.00;0.00
3312;16.0;2760.00;0,91;31-Dic-2018;;0.00;0.00;0.00;0.00;0.00
3312;17.0;2880.00;0,91;31-Jul-2019;;0.00;0.00;0.00;0.00;0.00
3312;18.0;2760.00;0,91;31-Dic-2019;;0.00;0.00;0.00;0.00;0.00
3312;19.0;2880.00;0,91;31-Jul-2020;;0.00;0.00;0.00;0.00;0.00
3312;20.0;2825.56;0,91;31-Dic-2020;;0.00;0.00;0.00;0.00;0.00
3575;3.0;3530.00;1,00;31-Jul-2012;1-Oct-2012;3530.00;1678.88;1851.12;7867.62;22132.38
3575;4.0;4440.00;1,00;31-Dic-2012;4-Dic-2012;4440.00;1106.60;3333.40;11201.02;18798.98
3575;5.0;3530.00;1,00;31-Jul-2013;2-Oct-2013;3530.00;1315.93;2214.07;13415.09;16584.91
3575;6.0;4440.00;1,00;31-Dic-2013;5-Dic-2013;4440.00;829.25;3610.75;17025.84;12974.16
3575;7.0;3530.00;1,00;31-Jul-2014;8-Ago-2014;3530.00;908.18;2621.82;19647.66;10352.34
3575;8.0;4440.00;1,00;31-Dic-2014;10-Dic-2014;4440.00;517.60;3922.40;23570.06;6429.94
3575;9.0;3530.00;1,00;31-Jul-2015;2-Oct-2015;3530.00;450.10;3079.90;26649.96;3350.04
3575;10.0;3517.54;1,00;31-Dic-2015;10-Dic-2015;3517.54;167.50;3350.04;30000.00;0.00
3575;2.0;4440.00;1,00;31-Dic-2011;18-Ene-2012;4440.00;1353.50;3086.50;6016.50;23983.50
3575;1.0;3530.00;1,00;31-Jul-2011;18-Oct-2011;3530.00;600.00;2930.00;2930.00;27070.00
3666;1.0;3610.00;0,91;31-Jul-2011;25-Feb-2012;3610.00;2695.00;915.00;915.00;41085.00
3666;2.0;3645.00;0,91;31-Dic-2011;25-Feb-2012;3645.00;1883.05;1761.95;2676.95;39323.05
3666;3.0;3810.00;0,91;31-Jul-2012;27-Jul-2012;3810.00;2523.22;1286.78;3963.73;38036.27
3666;4.0;3645.00;0,91;31-Dic-2012;12-Dic-2012;3645.00;1743.35;1901.65;5865.38;36134.62
3666;5.0;3810.00;0,91;31-Jul-2013;5-Sep-2013;3810.00;2318.61;1491.39;7356.77;34643.23
3666;6.0;3645.00;0,91;31-Dic-2013;6-Dic-2013;3645.00;1587.80;2057.20;9413.97;32586.03
3666;7.0;3810.00;0,91;31-Jul-2014;15-Oct-2014;3810.00;2090.97;1719.03;11133.00;30867.00
3666;8.0;3645.00;0,91;31-Dic-2014;25-Nov-2014;3645.00;1414.75;2230.25;13363.25;28636.75
3666;9.0;3810.00;0,91;31-Jul-2015;4-Ago-2015;3810.00;1837.50;1972.50;15335.75;26664.25
3666;10.0;3645.00;0,91;31-Dic-2015;30-Nov-2015;3645.00;1222.10;2422.90;17758.65;24241.35
3666;11.0;3810.00;0,91;31-Jul-2016;28-Jul-2016;3810.00;1555.47;2254.53;20013.18;21986.82
3666;12.0;3645.00;0,91;31-Dic-2016;;0.00;0.00;0.00;0.00;0.00
3666;13.0;3810.00;0,91;31-Jul-2017;;0.00;0.00;0.00;0.00;0.00
3666;14.0;3645.00;0,91;31-Dic-2017;;0.00;0.00;0.00;0.00;0.00
3666;15.0;3810.00;0,91;31-Jul-2018;;0.00;0.00;0.00;0.00;0.00
3666;16.0;3645.00;0,91;31-Dic-2018;;0.00;0.00;0.00;0.00;0.00
3666;17.0;3810.00;0,91;31-Jul-2019;;0.00;0.00;0.00;0.00;0.00
3666;18.0;3645.00;0,91;31-Dic-2019;;0.00;0.00;0.00;0.00;0.00
3666;19.0;1173.46;0,91;31-Jul-2020;;0.00;0.00;0.00;0.00;0.00
3694;1.0;3975.00;0,91;31-Jul-2011;18-Oct-2011;3975.00;2310.00;1665.00;1665.00;34335.00
3694;2.0;3315.00;0,91;31-Dic-2011;17-Ene-2012;3315.00;1573.70;1741.30;3406.30;32593.70
3694;3.0;3975.00;0,91;31-Jul-2012;25-Sep-2012;3975.00;2091.46;1883.54;5289.84;30710.16
3694;4.0;3315.00;0,91;31-Dic-2012;4-Dic-2012;3315.00;1407.55;1907.45;7197.29;28802.71
3694;5.0;3975.00;0,91;31-Jul-2013;10-Oct-2013;3975.00;1848.14;2126.86;9324.15;26675.85
3694;6.0;3315.00;0,91;31-Dic-2013;5-Dic-2013;3315.00;1222.65;2092.35;11416.50;24583.50
3694;7.0;3975.00;0,91;31-Jul-2014;8-Ago-2014;3975.00;1577.45;2397.55;13814.05;22185.95
3694;8.0;3315.00;0,91;31-Dic-2014;10-Dic-2014;3315.00;1016.85;2298.15;16112.20;19887.80
3694;9.0;3975.00;0,91;31-Jul-2015;5-Oct-2015;3975.00;1276.10;2698.90;18811.10;17188.90
3694;10.0;3315.00;0,91;31-Dic-2015;16-Dic-2015;3315.00;787.80;2527.20;21338.30;14661.70
3694;11.0;3975.00;0,91;31-Jul-2016;5-Ago-2016;3975.00;940.80;3034.20;24372.50;11627.50
3694;12.0;3315.00;0,91;31-Dic-2016;;0.00;0.00;0.00;0.00;0.00
3694;13.0;3975.00;0,91;31-Jul-2017;;0.00;0.00;0.00;0.00;0.00
3694;14.0;3315.00;0,91;31-Dic-2017;;0.00;0.00;0.00;0.00;0.00
3694;15.0;2524.51;0,91;31-Jul-2018;;0.00;0.00;0.00;0.00;0.00
3746;1.0;5179.67;0,91;31-Dic-2011;17-Ene-2012;5179.67;2053.32;3126.35;3126.35;15540.33
3746;2.0;4923.00;0,91;31-Jul-2012;5-Oct-2012;4923.00;997.15;3925.85;7052.20;11614.48
3746;3.0;4923.00;0,91;31-Dic-2012;4-Dic-2012;4923.00;532.35;4390.65;11442.85;7223.83
3746;4.0;2512.06;0,91;31-Dic-2013;5-Dic-2013;2512.06;794.64;1717.42;13160.27;5506.41
3746;4.1;2199.30;0,91;20-Dic-2013;20-Dic-2013;2199.30;0.00;2199.30;15359.57;3307.11
3746;5.0;3519.35;0,91;31-Jul-2014;8-Ago-2014;3519.35;212.24;3307.11;18666.68;0.00
3774;1.0;2982.00;0,91;31-Jul-2011;18-Oct-2011;2982.00;2079.00;903.00;903.00;31497.00
3774;2.0;2850.00;0,91;31-Dic-2011;17-Ene-2012;2850.00;1443.60;1406.40;2309.40;30090.60
3774;3.0;2982.00;0,91;31-Jul-2012;25-Sep-2012;2982.00;1930.81;1051.19;3360.59;29039.41
3774;4.0;2850.00;0,91;31-Dic-2012;4-Dic-2012;2850.00;1330.95;1519.05;4879.64;27520.36
3774;5.0;2982.00;0,91;31-Jul-2013;10-Oct-2013;2982.00;1765.89;1216.11;6095.75;26304.25
3774;6.0;2850.00;0,91;31-Dic-2013;5-Dic-2013;2850.00;1205.60;1644.40;7740.15;24659.85
3774;7.0;2982.00;0,91;31-Jul-2014;8-Ago-2014;2982.00;1582.35;1399.65;9139.80;23260.20
3774;8.0;2850.00;0,91;31-Dic-2014;10-Dic-2014;2850.00;1066.10;1783.90;10923.70;21476.30
3774;9.0;2982.00;0,91;31-Jul-2015;5-Oct-2015;2982.00;1378.09;1603.91;12527.61;19872.39
3774;10.0;2850.00;0,91;31-Dic-2015;16-Dic-2015;2850.00;910.80;1939.20;14466.81;17933.19
3774;11.0;2982.00;0,91;31-Jul-2016;5-Ago-2016;2982.00;1150.73;1831.27;16298.08;16101.92
3774;12.0;2850.00;0,91;31-Dic-2016;;0.00;0.00;0.00;0.00;0.00
3774;13.0;2982.00;0,91;31-Jul-2017;;0.00;0.00;0.00;0.00;0.00
3774;14.0;2850.00;0,91;31-Dic-2017;;0.00;0.00;0.00;0.00;0.00
3774;15.0;2982.00;0,91;31-Jul-2018;;0.00;0.00;0.00;0.00;0.00
3774;16.0;2850.00;0,91;31-Dic-2018;;0.00;0.00;0.00;0.00;0.00
3774;17.0;2982.00;0,91;31-Jul-2019;;0.00;0.00;0.00;0.00;0.00
3774;18.0;2131.00;0,91;31-Dic-2019;;0.00;0.00;0.00;0.00;0.00
3826;1.0;1146.00;1,00;31-Jul-2011;18-Oct-2011;1146.00;536.06;609.94;609.94;7047.90
3826;2.0;1086.00;1,00;31-Dic-2011;17-Ene-2012;1086.00;352.40;733.60;1343.54;6314.30
3826;3.0;1146.00;1,00;31-Jul-2012;26-Sep-2012;1146.00;441.98;704.02;2047.56;5610.28
3826;8.0;1086.00;1,00;31-Dic-2014;10-Dic-2014;1086.00;109.05;976.95;6454.28;1203.56
3826;7.0;1146.00;1,00;31-Jul-2014;8-Ago-2014;1146.00;217.63;928.37;5477.33;2180.51
3826;6.0;1086.00;1,00;31-Dic-2013;5-Dic-2013;1086.00;199.75;886.25;4548.96;3108.88
3826;5.0;1146.00;1,00;31-Jul-2013;10-Oct-2013;1146.00;336.35;809.65;3662.71;3995.13
3826;4.0;1086.00;1,00;31-Dic-2012;4-Dic-2012;1086.00;280.50;805.50;2853.06;4804.78
3826;9.0;1287.84;1,00;31-Jul-2015;2-Oct-2015;1287.84;2799.08;-1511.24;5044.85;2612.99
3826;8.1;210.17;1,00;23-Sep-2015;23-Sep-2015;210.17;108.36;101.81;6556.09;1101.75
3828;24.0;2781.00;0,91;31-Dic-2022;;0.00;0.00;0.00;0.00;0.00
3828;23.0;2500.00;0,91;31-Jul-2022;;0.00;0.00;0.00;0.00;0.00
3828;22.0;2781.00;0,91;31-Dic-2021;;0.00;0.00;0.00;0.00;0.00
3828;21.0;2500.00;0,91;31-Jul-2021;;0.00;0.00;0.00;0.00;0.00
3828;20.0;2781.00;0,91;31-Dic-2020;;0.00;0.00;0.00;0.00;0.00
3828;19.0;2500.00;0,91;31-Jul-2020;;0.00;0.00;0.00;0.00;0.00
3828;18.0;2781.00;0,91;31-Dic-2019;;0.00;0.00;0.00;0.00;0.00
3828;17.0;2500.00;0,91;31-Jul-2019;;0.00;0.00;0.00;0.00;0.00
3828;16.0;2781.00;0,91;31-Dic-2018;;0.00;0.00;0.00;0.00;0.00
3828;15.0;2500.00;0,91;31-Jul-2018;;0.00;0.00;0.00;0.00;0.00
3828;14.0;2781.00;0,91;31-Dic-2017;;0.00;0.00;0.00;0.00;0.00
3828;13.0;2500.00;0,91;31-Jul-2017;;0.00;0.00;0.00;0.00;0.00
3828;12.0;2781.00;0,91;31-Dic-2016;;0.00;0.00;0.00;0.00;0.00
3828;11.0;2500.00;0,91;31-Jul-2016;5-Ago-2016;2500.00;1717.17;782.83;10022.28;25977.72
3828;10.0;2781.00;0,91;31-Dic-2015;16-Dic-2015;2781.00;1294.65;1486.35;9239.45;26760.55
3828;9.0;2500.00;0,91;31-Jul-2015;5-Oct-2015;2500.00;1853.95;646.05;7753.10;28246.90
3828;8.0;2781.00;0,91;31-Dic-2014;10-Dic-2014;2781.00;1388.10;1392.90;7107.05;28892.95
3828;7.0;2500.00;0,91;31-Jul-2014;8-Ago-2014;2500.00;1976.94;523.06;5714.15;30285.85
3828;6.0;2781.00;0,91;31-Dic-2013;5-Dic-2013;2781.00;1472.05;1308.95;5191.09;30808.91
3828;5.0;2500.00;0,91;31-Jul-2013;10-Oct-2013;2500.00;2087.40;412.60;3882.14;32117.86
3828;4.0;2781.00;0,91;31-Dic-2012;4-Dic-2012;2781.00;1547.50;1233.50;3469.54;32530.46
3828;3.0;2500.00;0,91;31-Jul-2012;25-Sep-2012;2500.00;2186.66;313.34;2236.04;33763.96
3828;2.0;2781.00;0,91;31-Dic-2011;17-Ene-2012;2781.00;1615.30;1165.70;1922.70;34077.30
3828;1.0;1417.00;0,91;31-Jul-2011;18-Oct-2011;1417.00;660.00;757.00;757.00;35243.00
3828;25.0;2500.00;0,91;31-Jul-2023;;0.00;0.00;0.00;0.00;0.00
3828;26.0;1093.38;0,91;31-Dic-2023;;0.00;0.00;0.00;0.00;0.00
3847;1.0;3048.00;0,91;31-Jul-2011;18-Oct-2011;3048.00;2156.00;892.00;892.00;32708.00
3847;2.0;2916.00;0,91;31-Dic-2011;17-Ene-2012;2916.00;1499.10;1416.90;2308.90;31291.10
3847;3.0;3048.00;0,91;31-Jul-2012;26-Sep-2012;3048.00;2007.88;1040.12;3349.02;30250.98
3847;4.0;2916.00;0,91;31-Dic-2012;4-Dic-2012;2916.00;1386.50;1529.50;4878.52;28721.48
3847;5.0;3048.00;0,91;31-Jul-2013;10-Oct-2013;3048.00;1842.96;1205.04;6083.56;27516.44
3847;6.0;2916.00;0,91;31-Dic-2013;5-Dic-2013;2916.00;1261.15;1654.85;7738.41;25861.59
3847;7.0;3048.00;0,91;31-Jul-2014;8-Ago-2014;3048.00;1659.42;1388.58;9126.99;24473.01
3847;8.0;2916.00;0,91;31-Dic-2014;15-Dic-2014;2916.00;1121.70;1794.30;10921.29;22678.71
3847;9.0;3048.00;0,91;31-Jul-2015;2-Oct-2015;3048.00;1455.23;1592.77;12514.06;21085.94
3847;10.0;2916.00;0,91;31-Dic-2015;15-Ene-2016;2916.00;966.45;1949.55;14463.61;19136.39
3847;11.0;3048.00;0,91;31-Jul-2016;5-Ago-2016;3048.00;1227.94;1820.06;16283.67;17316.33
3847;12.0;2916.00;0,91;31-Dic-2016;;0.00;0.00;0.00;0.00;0.00
3847;13.0;3048.00;0,91;31-Jul-2017;;0.00;0.00;0.00;0.00;0.00
3847;14.0;2916.00;0,91;31-Dic-2017;;0.00;0.00;0.00;0.00;0.00
3847;15.0;3048.00;0,91;31-Jul-2018;;0.00;0.00;0.00;0.00;0.00
3847;16.0;2916.00;0,91;31-Dic-2018;;0.00;0.00;0.00;0.00;0.00
3847;17.0;3048.00;0,91;31-Jul-2019;;0.00;0.00;0.00;0.00;0.00
3847;18.0;3404.41;0,91;31-Dic-2019;;0.00;0.00;0.00;0.00;0.00
3863;1.0;3114.00;0,91;31-Jul-2011;18-Oct-2011;3114.00;2233.00;881.00;881.00;33919.00
3863;2.0;2982.00;0,91;31-Dic-2011;17-Ene-2012;2982.00;1554.60;1427.40;2308.40;32491.60
3863;3.0;3114.00;0,91;31-Jul-2012;25-Sep-2012;3114.00;2084.88;1029.12;3337.52;31462.48
3863;4.0;2982.00;0,91;31-Dic-2012;4-Dic-2012;2982.00;1442.05;1539.95;4877.47;29922.53
3863;5.0;3114.00;0,91;31-Jul-2013;10-Oct-2013;3114.00;1920.03;1193.97;6071.44;28728.56
3863;6.0;2982.00;0,91;31-Dic-2013;5-Dic-2013;2982.00;1316.75;1665.25;7736.69;27063.31
3863;7.0;3114.00;0,91;31-Jul-2014;8-Ago-2014;3114.00;1736.56;1377.44;9114.13;25685.87
3863;8.0;2982.00;0,91;31-Dic-2014;10-Dic-2014;2982.00;1177.25;1804.75;10918.88;23881.12
3863;9.0;3114.00;0,91;31-Jul-2015;5-Oct-2015;3114.00;1532.37;1581.63;12500.51;22299.49
3863;10.0;2982.00;0,91;31-Dic-2015;16-Dic-2015;2982.00;1022.05;1959.95;14460.46;20339.54
3863;11.0;3114.00;0,91;31-Jul-2016;5-Ago-2016;3114.00;1305.15;1808.85;16269.31;18530.69
3863;12.0;2982.00;0,91;31-Dic-2016;;0.00;0.00;0.00;0.00;0.00
3863;13.0;3114.00;0,91;31-Jul-2017;;0.00;0.00;0.00;0.00;0.00
3863;14.0;2982.00;0,91;31-Dic-2017;;0.00;0.00;0.00;0.00;0.00
3863;15.0;3114.00;0,91;31-Jul-2018;;0.00;0.00;0.00;0.00;0.00
3863;16.0;2982.00;0,91;31-Dic-2018;;0.00;0.00;0.00;0.00;0.00
3863;17.0;3114.00;0,91;31-Jul-2019;;0.00;0.00;0.00;0.00;0.00
3863;18.0;4677.46;0,91;31-Dic-2019;;0.00;0.00;0.00;0.00;0.00
3877;1.0;2440.00;0,91;31-Jul-2011;18-Oct-2011;2440.00;513.31;1926.69;1926.69;6073.31
3877;2.0;2220.00;0,91;31-Dic-2011;17-Ene-2012;2220.00;278.35;1941.65;3868.34;4131.66
3877;3.0;2440.00;0,91;31-Jul-2012;25-Sep-2012;2440.00;265.09;2174.91;6043.25;1956.75
3877;4.0;2046.45;0,91;31-Dic-2012;4-Dic-2012;2046.45;89.70;1956.75;8000.00;0.00
3878;16.0;1929.79;1,16;31-Jul-2019;;0.00;0.00;0.00;0.00;0.00
3878;15.0;2573.00;1,16;31-Dic-2018;;0.00;0.00;0.00;0.00;0.00
3878;14.0;2573.00;1,16;31-Jul-2018;;0.00;0.00;0.00;0.00;0.00
3878;13.0;2573.00;1,16;31-Dic-2017;;0.00;0.00;0.00;0.00;0.00
3878;12.0;2573.00;1,16;31-Jul-2017;;0.00;0.00;0.00;0.00;0.00
3878;11.0;2573.00;1,16;31-Dic-2016;;0.00;0.00;0.00;0.00;0.00
3878;10.0;2573.00;1,16;31-Jul-2016;5-Ago-2016;2573.00;1093.26;1479.74;10592.52;11907.48
3878;9.0;2573.00;1,16;31-Dic-2015;16-Dic-2015;2573.00;879.70;1693.30;9112.78;13387.22
3878;8.0;2573.00;1,16;31-Jul-2015;5-Oct-2015;2573.00;1332.87;1240.13;7419.48;15080.52
3878;7.0;2573.00;1,16;31-Dic-2014;10-Dic-2014;2573.00;1041.40;1531.60;6179.35;16320.65
3878;6.0;2573.00;1,16;31-Jul-2014;8-Ago-2014;2573.00;1542.10;1030.90;4647.75;17852.25
3878;5.0;2573.00;1,16;31-Dic-2013;5-Dic-2013;2573.00;1182.60;1390.40;3616.85;18883.15
3878;4.0;2573.00;1,16;31-Jul-2013;10-Oct-2013;2573.00;1724.94;848.06;2226.45;20273.55
3878;3.0;2573.00;1,16;31-Dic-2012;4-Dic-2012;2573.00;1306.00;1267.00;1378.39;21121.61
3878;2.0;2573.00;1,16;31-Jul-2012;25-Sep-2012;2573.00;1884.61;688.39;111.39;22388.61
3878;1.0;2573.00;1,16;31-Dic-2011;17-Ene-2012;2573.00;3150.00;-577.00;-577.00;23077.00
3890;16.0;2916.00;0,91;31-Dic-2018;;0.00;0.00;0.00;0.00;0.00
3890;15.0;3048.00;0,91;31-Jul-2018;;0.00;0.00;0.00;0.00;0.00
3890;14.0;2916.00;0,91;31-Dic-2017;;0.00;0.00;0.00;0.00;0.00
3890;13.0;3048.00;0,91;31-Jul-2017;;0.00;0.00;0.00;0.00;0.00
3890;12.0;2916.00;0,91;31-Dic-2016;;0.00;0.00;0.00;0.00;0.00
3890;11.0;3048.00;0,91;31-Jul-2016;5-Ago-2016;3048.00;1227.94;1820.06;16283.67;17316.33
3890;10.0;2916.00;0,91;31-Dic-2015;16-Dic-2015;2916.00;966.45;1949.55;14463.61;19136.39
3890;9.0;3048.00;0,91;31-Jul-2015;5-Oct-2015;3048.00;1455.23;1592.77;12514.06;21085.94
3890;8.0;2916.00;0,91;31-Dic-2014;10-Dic-2014;2916.00;1121.70;1794.30;10921.29;22678.71
3890;7.0;3048.00;0,91;31-Jul-2014;8-Ago-2014;3048.00;1659.42;1388.58;9126.99;24473.01
3890;6.0;2916.00;0,91;31-Dic-2013;5-Dic-2013;2916.00;1261.15;1654.85;7738.41;25861.59
3890;5.0;3048.00;0,91;31-Jul-2013;10-Oct-2013;3048.00;1842.96;1205.04;6083.56;27516.44
3890;4.0;2916.00;0,91;31-Dic-2012;4-Dic-2012;2916.00;1386.50;1529.50;4878.52;28721.48
3890;3.0;3048.00;0,91;31-Jul-2012;25-Sep-2012;3048.00;2007.88;1040.12;3349.02;30250.98
3890;2.0;2916.00;0,91;31-Dic-2011;17-Ene-2012;2916.00;1499.10;1416.90;2308.90;31291.10
3890;1.0;3048.00;0,91;31-Jul-2011;28-Oct-2011;3048.00;2156.00;892.00;892.00;32708.00
3890;18.0;3404.41;0,91;31-Dic-2019;;0.00;0.00;0.00;0.00;0.00
3890;17.0;3048.00;0,91;31-Jul-2019;;0.00;0.00;0.00;0.00;0.00
3907;1.0;3761.00;0,83;31-Jul-2011;18-Oct-2011;3761.00;2855.72;905.28;905.28;48049.35
3907;2.0;3634.00;0,83;31-Dic-2011;17-Ene-2012;3634.00;2002.05;1631.95;2537.23;46417.40
3907;4.0;3634.00;0,83;31-Dic-2012;4-Dic-2012;3634.00;1852.10;1781.90;6286.47;42668.16
3907;5.0;3761.00;0,83;31-Jul-2013;10-Oct-2013;3761.00;2488.99;1272.01;7558.48;41396.15
3907;6.0;3634.00;0,83;31-Dic-2013;5-Dic-2013;3634.00;1724.85;1909.15;9467.63;39487.00
3907;7.0;3761.00;0,83;31-Jul-2014;8-Ago-2014;3761.00;2303.42;1457.58;10925.21;38029.42
3907;8.0;3634.00;0,83;31-Dic-2014;10-Dic-2014;3634.00;1584.55;2049.45;12974.66;35979.97
3907;3.0;4675.01;0,83;31-Jul-2012;15-Oct-2012;4675.01;2707.67;1967.34;4504.57;44450.06
3907;9.0;3761.00;0,83;31-Jul-2015;2-Oct-2015;3761.00;2098.81;1662.19;14636.85;34317.78
